Scenario,Analysis
"KLM KL123 Amsterdam to São Paulo delayed 5 hours due to Brazilian visa documentation issues for connecting crew on June 22, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Crew documentation and planning within airline operational responsibility<br>CONFIDENCE: 81%"
"Ryanair FR123 Barcelona to Copenhagen delayed 4.5 hours due to aircraft door mechanism malfunction on November 5, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €400<br>REASON: Medium-haul flight delayed >3 hours due to aircraft technical problem<br>CONFIDENCE: 93%"
"Air Canada AC456 Montreal to Amsterdam delayed 12 hours due to snowstorm but airline failed to have adequate de-icing capacity on December 15, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $1000<br>REASON: Weather event but airline inadequately prepared for foreseeable conditions<br>CONFIDENCE: 68%"
"United Airlines UA789 Los Angeles to London cancelled due to crew food poisoning from airline catering on September 8, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Crew illness from airline-provided catering within operational control<br>CONFIDENCE: 75%"
"Porter Airlines PD456 Toronto to New York delayed 3.5 hours due to aircraft cabin pressure system malfunction on October 30, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: International flight delayed >3 hours due to aircraft technical issue<br>CONFIDENCE: 90%"
"Lufthansa LH456 Frankfurt to Singapore delayed 6 hours due to monsoon conditions at destination affecting approach on July 12, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Severe weather at destination beyond airline control<br>CONFIDENCE: 92%"
"Virgin Atlantic VS234 London to Las Vegas delayed 8.5 hours due to aircraft entertainment system causing electrical interference on August 25, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to aircraft system malfunction<br>CONFIDENCE: 88%"
"Air Canada AC789 Toronto to Dublin delayed 7 hours due to passenger disruption requiring police intervention on November 18, 2024.","ELIGIBLE: No<br>REGULATION: APPR<br>AMOUNT: CAD $0<br>REASON: Disruptive passenger requiring security response constitutes extraordinary circumstances<br>CONFIDENCE: 89%"
"Norwegian DY123 Copenhagen to Los Angeles delayed 10 hours due to aircraft wing inspection after ground vehicle contact on September 5, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Ground handling incident within airport operations affects airline responsibility<br>CONFIDENCE: 83%"
"United Airlines UA234 San Francisco to Paris delayed 4 hours due to catering truck mechanical failure on October 20, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Ground service coordination within airline operational control<br>CONFIDENCE: 82%"
"WestJet WS789 Calgary to Amsterdam delayed 5.5 hours due to aircraft cargo door seal problem on August 8, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: International flight delayed >3 hours due to aircraft technical malfunction<br>CONFIDENCE: 91%"
